0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:00 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:00 +0530] "GET /webProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:00 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:00 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:01 +0530] "GET /webProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:01 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:16 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:16 +0530] "GET /webProject/style.css HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:16 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:36 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:36 +0530] "GET /webProject/style.css HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:36 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:37 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:37 +0530] "GET /webProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:37 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:37 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:37 +0530] "GET /webProject/style.css HTTP/1.1" 304 -
